cycle_times,total_bitmap_size,total_execution_time,execution_entry_count,total_score,no_new_coverage_cycle_times,exploration_mode,last_fuzz_finds_count,last_fuzz_crash_count,last_fuzz_timeout_count,bitmap_size,program_run_time
61,2348462,21.577093362808228,16229,25275.0,0,False,90,546,0,551,104.74486303329468
61,2348882,21.581125736236572,16232,25275.0,0,False,91,546,0,552,104.76198554039001
61,2349302,21.58449101448059,16235,25275.0,0,False,92,547,0,553,104.77954888343811
61,2352358,21.61229944229126,16257,25275.0,0,False,93,550,0,554,104.91017127037048
61,2353880,21.62511420249939,16268,25275.0,0,False,94,550,0,555,104.97130393981934
61,2361288,21.68913459777832,16321,32475.0,0,False,95,552,0,556,105.27665209770203
63,2529303,23.16454768180847,17509,33675.0,1,False,96,631,0,558,112.41201734542847
65,2624637,24.1626718044281,18176,33975.0,1,False,97,674,0,559,117.00444149971008
65,2675199,24.722515106201172,18529,32375.0,1,False,98,686,0,560,119.48230314254761
66,2753489,25.596322059631348,19074,30875.0,0,False,99,708,0,561,123.35163521766663
69,2922637,27.60307288169861,20263,29975.0,2,False,100,756,0,562,132.1128957271576
72,3115150,29.975292682647705,21601,29900.0,2,False,101,816,0,563,142.2573800086975
75,3283492,31.760616064071655,22786,29600.0,2,False,102,859,0,565,150.48211932182312
75,3324892,32.20745515823364,23079,30500.0,2,False,103,868,0,566,152.50772047042847
81,3647767,36.051865100860596,25353,31700.0,5,False,104,964,0,567,169.28091430664062
88,4083091,41.01998281478882,28407,29975.0,6,False,105,1123,0,569,191.30235171318054
89,4210958,42.51781415939331,29303,30525.0,0,False,106,1150,0,570,198.10517978668213
90,4259450,43.071409463882446,29644,32325.0,0,False,107,1156,0,571,200.58956956863403
91,4312442,43.648146867752075,30015,32175.0,0,False,108,1165,0,572,203.24797773361206
92,4393178,44.58062148094177,30586,33375.0,0,False,109,1178,0,588,207.5329225063324
92,4393733,44.58733344078064,30590,33375.0,0,False,110,1178,0,590,207.55971217155457
92,4395953,44.61043453216553,30606,33375.0,0,False,111,1180,0,591,207.66624641418457
92,4396083,44.612051010131836,30607,33375.0,0,False,112,1180,0,593,207.67274475097656
92,4400230,44.65883803367615,30637,37775.0,0,False,113,1180,0,594,207.8998098373413
94,4590951,46.846906423568726,31985,38975.0,1,False,114,1218,0,595,217.63471603393555
101,5140328,53.160927057266235,35850,38525.0,6,False,115,1377,0,598,245.79632353782654
101,5140751,53.166484117507935,35853,38525.0,6,False,116,1377,0,599,245.81804966926575
101,5163641,53.3930766582489,36016,34325.0,6,False,117,1385,0,605,246.88454222679138
102,5248970,54.22876501083374,36616,35525.0,0,False,118,1412,0,609,250.86349201202393
104,5355984,55.268282890319824,37370,35250.0,1,False,119,1442,0,610,255.8340344429016
104,5392024,55.6023371219635,37620,36450.0,1,False,120,1457,0,611,257.46769165992737
109,5795715,59.20143222808838,40453,37650.0,4,False,121,1553,0,612,275.0541138648987
113,6068225,61.59068465232849,42352,35350.0,3,False,122,1637,0,616,286.9349088668823
113,6105785,61.910762786865234,42615,35250.0,3,False,123,1649,0,617,288.5302731990814
120,6611319,66.35120725631714,46167,36250.0,6,False,124,1810,0,618,310.20308899879456
122,6745073,67.50896167755127,47105,35900.0,1,False,125,1858,0,619,315.9721415042877
123,6807047,68.07784795761108,47534,35600.0,0,False,126,1877,0,620,318.6729094982147
127,7139915,71.0216293334961,49857,36600.0,3,False,127,1977,0,622,332.92504596710205
127,7140190,71.024569272995,49859,36600.0,3,False,128,1977,0,623,332.9373400211334
127,7141153,71.03431677818298,49866,36600.0,3,False,129,1977,0,626,332.981477022171
139,8165325,80.09202003479004,57073,41200.0,11,True,130,2259,0,627,377.09536623954773
139,8232738,80.70473027229309,57541,36850.0,11,True,131,2288,0,628,380.0091633796692
150,9116855,88.5770697593689,63711,38650.0,10,False,132,2532,0,629,418.6548728942871
154,9462498,91.8674213886261,66139,37600.0,3,False,133,2622,0,632,434.36714243888855
155,9536416,92.57476615905762,66652,38200.0,0,False,134,2648,0,636,437.7799575328827
155,9536557,92.5761821269989,66653,38200.0,0,False,135,2648,0,638,437.7863202095032
155,9536839,92.57884287834167,66655,38200.0,0,False,136,2648,0,639,437.79957389831543
155,9537258,92.58260822296143,66658,38200.0,0,False,137,2648,0,640,437.8205134868622
155,9538386,92.59511470794678,66666,38200.0,0,False,138,2648,0,641,437.8724799156189
155,9538527,92.59663724899292,66667,38200.0,0,False,139,2648,0,642,437.87951016426086
155,9538668,92.5979232788086,66668,38200.0,0,False,140,2648,0,643,437.88575196266174
155,9538809,92.59940075874329,66669,38200.0,0,False,141,2648,0,644,437.8924458026886
155,9540491,92.61605668067932,66681,38200.0,0,False,142,2648,0,645,437.96707582473755
155,9540914,92.62042689323425,66684,38200.0,0,False,143,2648,0,646,437.98660469055176
155,9541337,92.62465357780457,66687,38200.0,0,False,144,2648,0,647,438.003910779953
155,9542167,92.63197422027588,66693,38200.0,0,False,145,2648,0,648,438.0382790565491
155,9544268,92.65018248558044,66708,38200.0,0,False,146,2650,0,649,438.12938261032104
