cycle_times,total_bitmap_size,total_execution_time,execution_entry_count,total_score,no_new_coverage_cycle_times,exploration_mode,last_fuzz_finds_count,last_fuzz_crash_count,last_fuzz_timeout_count,bitmap_size,program_run_time
87,10827864,100.17733097076416,86690,134943.75,1,False,282,0,0,962,446.6840977668762
87,10837902,100.27888941764832,86776,131593.75,1,False,283,0,0,964,447.14430236816406
88,11229732,103.97800874710083,89812,132943.75,0,False,284,0,0,965,462.960572719574
88,11250450,104.17202711105347,89981,135643.75,0,False,285,0,0,966,463.79930305480957
89,11456646,106.258793592453,91651,136543.75,0,False,286,0,0,970,472.604012966156
90,11543811,107.0072968006134,92253,137143.75,0,False,287,0,0,972,475.72966146469116
91,12029758,110.90419316291809,95671,139368.75,0,False,288,0,0,974,492.673734664917
92,12433896,114.35343217849731,98508,136318.75,0,False,289,0,0,975,507.251549243927
93,12518834,115.17358827590942,99193,134806.25,0,False,290,0,0,976,510.67085313796997
94,12797523,117.31913161277771,101121,136406.25,0,False,291,0,0,977,520.0570831298828
94,12920111,118.31217002868652,101960,137331.25,0,False,292,0,0,984,524.2432117462158
94,13019071,119.10196232795715,102646,139131.25,0,False,293,0,0,985,527.6393790245056
96,13365574,121.9234631061554,105030,142331.25,1,False,294,0,0,986,539.5989463329315
96,13372994,121.99027228355408,105079,142143.75,1,False,295,0,0,991,539.8607127666473
96,13397335,122.16543698310852,105240,145143.75,1,False,296,0,0,992,540.6544132232666
96,13452972,122.61519575119019,105635,145668.75,1,False,297,0,0,993,542.6033573150635
96,13526349,123.26037883758545,106175,148668.75,1,False,298,0,0,994,545.3137593269348
96,13577436,123.66097712516785,106530,150268.75,1,False,299,0,0,995,547.0393397808075
97,13935082,126.48447561264038,108980,151868.75,0,False,300,0,0,997,559.254035949707
98,14127582,128.37954568862915,110583,145518.75,0,False,301,0,0,998,567.450412273407
98,14177519,128.91087341308594,110983,144568.75,0,False,302,0,0,1001,569.6586759090424
99,14295020,130.0091836452484,111906,146168.75,0,False,303,0,0,1003,574.4221184253693
99,14403546,131.06628394126892,112843,147168.75,0,False,304,0,0,1004,579.0762388706207
100,14700560,133.97689032554626,115313,147468.75,0,False,305,0,0,1007,591.6494159698486
101,14832854,135.31956672668457,116404,147793.75,0,False,306,0,0,1011,597.2519633769989
101,14842574,135.42420053482056,116491,148993.75,0,False,307,0,0,1012,597.6980485916138
101,14963807,136.77407217025757,117625,149393.75,0,False,308,0,0,1013,603.4672882556915
102,15144079,138.59658861160278,119195,150593.75,0,False,309,0,0,1015,611.254686832428
103,15581618,142.6302855014801,122723,150993.75,0,False,310,0,0,1017,628.6354374885559
104,15761348,144.12587690353394,124023,150493.75,0,False,311,0,0,1023,635.097592830658
104,15871990,145.17491173744202,124912,152893.75,0,False,312,0,0,1025,639.6322290897369
105,16047106,146.8592357635498,126383,153093.75,0,False,313,0,0,1027,646.962881565094
105,16201311,148.3738329410553,127588,155093.75,0,False,314,0,0,1030,653.3446941375732
105,16276795,149.056049823761,128142,155893.75,0,False,315,0,0,1031,656.3008141517639
106,16359391,149.7826464176178,128743,156193.75,0,False,316,0,0,1036,659.4168000221252
106,16444123,150.6214301586151,129451,157693.75,0,False,317,0,0,1037,663.0785937309265
106,16515537,151.17871117591858,129909,157893.75,0,False,318,0,0,1038,665.438218832016
107,16774508,153.26318764686584,131631,159093.75,0,False,319,0,0,1042,674.2874257564545
107,16822242,153.66430020332336,131978,161493.75,0,False,320,0,0,1043,676.0258841514587
108,17305119,157.82543420791626,135385,163193.75,0,False,321,0,0,1044,693.7957713603973
109,17419544,158.76615238189697,136193,159818.75,0,False,322,0,0,1050,697.8699994087219
109,17516220,159.6008734703064,136876,162818.75,0,False,323,0,0,1051,701.3742263317108
109,17698892,161.25872373580933,138269,160268.75,0,False,324,0,0,1052,708.4946541786194
111,18243608,165.9609215259552,142325,159268.75,1,False,325,0,0,1058,728.7444260120392
111,18356934,166.94623637199402,143218,157718.75,1,False,326,0,0,1059,733.1193382740021
112,18653542,169.18935823440552,145131,159918.75,0,False,327,0,0,1060,742.7366902828217
113,18863764,170.8123939037323,146540,159768.75,0,False,328,0,0,1061,749.751439332962
113,19122724,172.98138451576233,148445,159468.75,0,False,329,0,0,1063,759.1565146446228
116,19853446,179.63537168502808,154033,157618.75,2,False,330,0,0,1065,787.6908173561096
117,20232064,182.72081470489502,156760,157518.75,0,False,331,0,0,1066,801.3523614406586
117,20304656,183.34151458740234,157295,156218.75,0,False,332,0,0,1067,804.0442984104156
117,20358837,183.78483057022095,157682,158668.75,0,False,333,0,0,1069,805.9522094726562
118,20581755,185.52152371406555,159209,161468.75,0,False,334,0,0,1070,813.4805793762207
120,21249059,191.08503365516663,164042,163268.75,1,False,335,0,0,1071,837.7167716026306
121,21491506,193.27564191818237,165839,160918.75,0,False,336,0,0,1072,847.0496590137482
121,21491929,193.28077149391174,165843,160918.75,0,False,337,0,0,1073,847.071368932724
121,21645308,194.68475103378296,167014,163118.75,0,False,338,0,0,1074,853.152872800827
121,21699957,195.15051746368408,167421,164718.75,0,False,339,0,0,1076,855.1918547153473
123,22232721,200.11054587364197,171550,166318.75,1,False,340,0,0,1080,876.5023138523102
125,22834779,206.1771969795227,176108,164818.75,1,False,341,0,0,1081,901.4593532085419
125,22865208,206.56835198402405,176398,162368.75,1,False,342,0,0,1082,903.0753185749054
125,22963874,207.52016925811768,177161,163168.75,1,False,343,0,0,1083,907.0347726345062
125,23003733,207.9721794128418,177534,164768.75,1,False,344,0,0,1084,908.9355580806732
126,23297591,210.57204055786133,179811,165368.75,0,False,345,0,0,1086,920.3614082336426
129,24077134,217.62788891792297,185725,166668.75,2,False,346,0,0,1088,950.7418167591095
132,25140051,227.30180430412292,193886,164206.25,2,False,347,0,0,1090,992.1394426822662
132,25140864,227.30959367752075,193893,164206.25,2,False,348,0,0,1097,992.1757924556732
132,25236359,228.19469094276428,194667,167406.25,2,False,349,0,0,1098,996.0432963371277
133,25301587,228.74617338180542,195148,169006.25,0,False,350,0,0,1099,998.4550952911377
133,25364189,229.34009385108948,195649,168606.25,0,False,351,0,0,1101,1001.0127539634705
133,25376868,229.51920700073242,195783,170206.25,0,False,352,0,0,1102,1001.7626712322235
136,26395247,238.66535782814026,203555,173006.25,2,False,353,0,0,1105,1041.2194893360138
137,26674800,241.20502972602844,205721,169856.25,0,False,354,0,0,1106,1052.3157618045807
137,26734002,241.74162578582764,206187,170431.25,0,False,355,0,0,1107,1054.871339559555
137,26826973,242.58482217788696,206922,172031.25,0,False,356,0,0,1109,1058.901671409607
137,26845761,242.771413564682,207076,173631.25,0,False,357,0,0,1112,1059.7496461868286
137,26873678,243.02531909942627,207288,176831.25,0,False,358,0,0,1114,1061.0432953834534
138,26975291,244.0319128036499,208126,179231.25,0,False,359,0,0,1115,1065.6583585739136
138,27053381,244.8740475177765,208825,180831.25,0,False,360,0,0,1116,1069.530524969101
138,27135657,245.67315363883972,209477,183231.25,0,False,361,0,0,1118,1073.5820367336273
138,27245413,246.5952033996582,210276,184431.25,0,False,362,0,0,1119,1077.9629020690918
139,27397413,247.8880889415741,211428,184281.25,0,False,363,0,0,1120,1083.9597926139832
139,27599048,249.70253372192383,212966,183881.25,0,False,364,0,0,1121,1091.6893892288208
140,27943831,252.71332454681396,215626,182681.25,0,False,365,0,0,1125,1104.8480319976807
140,27944719,252.73088121414185,215643,182681.25,0,False,366,0,0,1126,1104.9289269447327
140,27990147,253.10728120803833,215969,185881.25,0,False,367,0,0,1127,1106.5396196842194
141,28198489,254.9530668258667,217632,187481.25,0,False,368,0,0,1130,1114.6781976222992
141,28274450,255.56992936134338,218181,189693.75,0,False,369,0,0,1135,1117.3767256736755
143,28906202,261.00805163383484,222987,191293.75,1,False,370,0,0,1136,1141.1890671253204
143,28997123,261.7914502620697,223650,184793.75,1,False,371,0,0,1137,1144.8951125144958
